"subj_idx","stim","stim_PM","stim_noPM","rt","response","trialno","TBdist","TSdist","SBdist","Helpful"
"1","Rem","PM","noPM","0.66489","1","10","0.0085278","0.33333","0.34186","7"
"1","Rem","PM","noPM","0.65899","1","11","0.0085278","0.16667","0.15814","7"
"1","Rem","PM","noPM","0.5896","1","12","0.0085278","0.33333","0.32481","7"
"1","Rem","PM","noPM","0.74956","1","13","0.0085278","0.25","0.25853","7"
"1","Rem","PM","noPM","0.78165","1","15","0.0085278","0.083333","0.074806","7"
"1","Rem","PM","noPM","0.65211","1","16","0.0085278","0.33333","0.32481","7"
"1","Rem","PM","noPM","0.56929","1","17","0.0085278","0.5","0.49147","7"
"1","Rem","PM","noPM","0.57003","1","18","0.0085278","0.083333","0.074806","7"
"1","Rem","PM","noPM","0.68302","1","19","0.0085278","0.16667","0.17519","7"
"1","Rem","PM","noPM","0.56743","1","20","0.0085278","0.33333","0.34186","7"
"1","Rem","PM","noPM","0.64783","1","21","0.0085278","0.33333","0.32481","7"
"1","Rem","PM","noPM","0.60696","1","22","0.0085278","0.33333","0.34186","7"
"1","Rem","PM","noPM","0.70994","0","23","0.0085278","0.16667","0.15814","7"
"1","Rem","PM","noPM","0.91109","1","25","0.0085278","0.083333","0.074806","7"
"1","Rem","PM","noPM","0.60433","1","26","0.0085278","0.25","0.25853","7"
"1","Rem","PM","noPM","0.69257","1","27","0.0085278","0.25","0.25853","7"
"1","Rem","PM","noPM","0.64021","1","28","0.0085278","0.5","0.49147","7"
"1","Rem","PM","noPM","0.6946","1","29","0.0085278","0.25","0.25853","7"
"1","Rem","PM","noPM","0.97939","0","1","0.0025278","0.5","0.49747","7"
"1","Rem","PM","noPM","0.58199","1","2","0.0025278","0.5","0.49747","7"
"1","Rem","PM","noPM","0.65953","1","3","0.0025278","0.16667","0.16919","7"
"1","Rem","PM","noPM","0.57667","1","4","0.0025278","0.33333","0.33081","7"
"1","Rem","PM","noPM","0.61569","1","5","0.0025278","0.25","0.24747","7"
"1","Rem","PM","noPM","0.62251","0","6","0.0025278","0.33333","0.33586","7"
"1","Rem","PM","noPM","0.54128","0","7","0.0025278","0.33333","0.33586","7"
"1","Rem","PM","noPM","0.54198","1","8","0.0025278","0.16667","0.16414","7"
"1","Rem","PM","noPM","0.63301","1","10","0.0025278","0.5","0.49747","7"
"1","Rem","PM","noPM","0.64822","1","12","0.0025278","0.16667","0.16919","7"
"1","Rem","PM","noPM","0.54081","1","13","0.0025278","0.16667","0.16919","7"
"1","Rem","PM","noPM","0.83995","1","14","0.0025278","0.16667","0.16414","7"
"1","Rem","PM","noPM","0.6455","1","15","0.0025278","0.41667","0.41919","7"
"1","Rem","PM","noPM","0.49163","1","16","0.0025278","0.16667","0.16414","7"
"1","Rem","PM","noPM","0.70403","0","17","0.0025278","0.16667","0.16919","7"
"1","Rem","PM","noPM","0.94008","1","18","0.0025278","0.33333","0.33586","7"
"1","Rem","PM","noPM","0.74997","1","19","0.0025278","0.25","0.24747","7"
"1","Rem","PM","noPM","0.7751","1","20","0.0025278","0.33333","0.33586","7"
"1","Rem","PM","noPM","1.1752","0","21","0.0025278","0.25","0.24747","7"
"1","Rem","PM","noPM","0.84605","1","22","0.0025278","0.16667","0.16414","7"
"1","Rem","PM","noPM","0.81157","1","23","0.0025278","0.5","0.49747","7"
"1","Rem","PM","noPM","0.78468","1","24","0.0025278","0.41667","0.41919","7"
"1","Rem","PM","noPM","0.53673","1","25","0.0025278","0.41667","0.41919","7"
"1","Rem","PM","noPM","0.67236","1","26","0.0025278","0.41667","0.41919","7"
"1","Rem","PM","noPM","0.77109","1","27","0.0025278","0.33333","0.33081","7"
"1","Rem","PM","noPM","0.74831","1","28","0.0025278","0.33333","0.33081","7"
"1","Rem","PM","noPM","1.0073","1","30","0.0025278","0.25","0.24747","7"
"1","Rem","PM","noPM","0.68111","1","1","0.016139","0.083333","0.067194","7"
"1","Rem","PM","noPM","0.70006","1","2","0.016139","0.41667","0.40053","7"
"1","Rem","PM","noPM","0.71123","0","3","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","0.80072","1","4","0.016139","0.41667","0.40053","7"
"1","Rem","PM","noPM","0.7728","1","6","0.016139","0.33333","0.31719","7"
"1","Rem","PM","noPM","0.61302","1","7","0.016139","0.5","0.48386","7"
"1","Rem","PM","noPM","0.63235","1","8","0.016139","0.33333","0.34947","7"
"1","Rem","PM","noPM","0.60357","1","9","0.016139","0.16667","0.15053","7"
"1","Rem","PM","noPM","0.60682","1","11","0.016139","0.5","0.48386","7"
"1","Rem","PM","noPM","0.61923","1","12","0.016139","0.33333","0.31719","7"
"1","Rem","PM","noPM","0.84766","1","14","0.016139","0.33333","0.31719","7"
"1","Rem","PM","noPM","0.78731","1","15","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","0.60201","1","16","0.016139","0.5","0.48386","7"
